Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Etimbuk Gregory Logistics - Novacare Ltd - NL,Nos,22,44000,42,84000,0,0,20,40000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Etimbuk Gregory Logistics - Novacare Ltd - NL,Nos,37,66600,39,70200,0,0,2,3600,1800,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,GINIKA ANAMBRA - Novacare Ltd - NL,Nos,36,70200,40,78000,0,0,4,7800,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Tajudeen A Ayetigbo LOGISTICS - Novacare Ltd - NL,Nos,11,21450,11,21450,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,28,54600,45,87750,0,0,17,33150,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Yohanna Vanduna Logistics - Novacare Ltd - NL,Nos,4,7800,27,52650,0,0,23,44850,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Msuega Terlanga Japhet Logistics - Novacare Ltd - NL,Nos,14,27300,28,54600,0,0,14,27300,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,DASHGO DELIVERY CALABAR - Novacare Ltd - NL,Nos,42,81900,46,89700,0,0,4,7800,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Emmanuel Nnamdi Ugwu Logistics - Novacare Ltd - NL,Nos,28,54600,28,54600,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Chidi Godstime Egege Logistics - Novacare Ltd - NL,Nos,2,3900,18,35100,0,0,16,31200,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Emmanuel Olapeju Awoyemi Logistics - Novacare Ltd - NL,Nos,30,58500,30,58500,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,86,167700,127,247650,0,0,41,79950,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,DINO LOGISTICS - Novacare Ltd - NL,Nos,30,58500,30,58500,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,142,276900,177,345150,0,0,35,68250,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,41,79950,49,95550,0,0,8,15600,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,"Express Logistics, Ebonyi LOGISTICS - Novacare Ltd - NL",Nos,30,58500,32,62400,0,0,2,3900,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,HOG logistics LOGISTICS - Novacare Ltd - NL,Nos,83,161850,106,206700,0,0,23,44850,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,BLUE AMAZON LOGISTICS LTD LOGISTICS - Novacare Ltd - NL,Nos,23,44850,23,44850,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,TEMIBASH LOGISTICS LOGISTICS - Novacare Ltd - NL,Nos,74,144300,74,144300,0,0,0,0,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Ibylogistics Limited LOGISTICS - Novacare Ltd - NL,Nos,-55,-107250,-16,-31200,0,0,39,76050,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Akanimo Edet Akpan Logistics - Novacare Ltd - NL,Nos,10,19500,15,29250,0,0,5,9750,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Durojaiye Ilashe Joseph Logistics - Novacare Ltd - NL,Nos,1,1950,24,46800,0,0,23,44850,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Durojaiye Ilashe Joseph Logistics - Novacare Ltd - NL,Nos,29,66700,29,66700,0,0,0,0,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Adetola Sam Adewuyi LOGISTICS - Novacare Ltd - NL,Nos,48,93600,57,111150,0,0,9,17550,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,ATP Logistics LOGISTICS - Novacare Ltd - NL,Nos,48,93600,-39,-76050,150,292500,63,122850,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Usiju Ladu Logistics - Novacare Ltd - NL,Nos,-3,-5850,4,7800,0,0,7,13650,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Toheeb Biola Popoola Logistics - Novacare Ltd - NL,Nos,38,81100,38,81100,0,0,0,0,2134.211,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Toheeb Biola Popoola Logistics - Novacare Ltd - NL,Nos,-36,-70200,2,3900,0,0,38,74100,1950,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,NOVA XPRESS ABUJA - Novacare Ltd - NL,Nos,298,536400,365,657000,0,0,67,120600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,NOVA XPRESS ABUJA - Novacare Ltd - NL,Nos,540,1080000,578,1156000,0,0,38,76000,2000,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Adetola Sam Adewuyi LOGISTICS - Novacare Ltd - NL,Nos,34,78200,34,78200,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,DINO LOGISTICS - Novacare Ltd - NL,Nos,30,69000,30,69000,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Ibylogistics Limited LOGISTICS - Novacare Ltd - NL,Nos,37,85100,37,85100,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,36,82800,39,89700,0,0,3,6900,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,TEMIBASH LOGISTICS LOGISTICS - Novacare Ltd - NL,Nos,32,73600,32,73600,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,DASHGO DELIVERY CALABAR - Novacare Ltd - NL,Nos,30,69000,30,69000,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Sheriff Adesola Raifu Logistics - Novacare Ltd - NL,Nos,18,41400,22,50600,0,0,4,9200,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,GINIKA ANAMBRA - Novacare Ltd - NL,Nos,29,66700,29,66700,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,26,59800,29,66700,0,0,3,6900,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Chidi Godstime Egege Logistics - Novacare Ltd - NL,Nos,42,96600,42,96600,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Usiju Ladu Logistics - Novacare Ltd - NL,Nos,26,59800,26,59800,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Yohanna Vanduna Logistics - Novacare Ltd - NL,Nos,21,48300,23,52900,0,0,2,4600,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Raphael Michael Logistics - Novacare Ltd - NL,Nos,-13,-25350,8,15600,0,0,21,40950,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Raphael Michael Logistics - Novacare Ltd - NL,Nos,30,69000,33,75900,0,0,3,6900,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Tajudeen A Ayetigbo LOGISTICS - Novacare Ltd - NL,Nos,17,39100,17,39100,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Akanimo Edet Akpan Logistics - Novacare Ltd - NL,Nos,32,73600,32,73600,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,"Express Logistics, Ebonyi LOGISTICS - Novacare Ltd - NL",Nos,40,92000,42,96600,0,0,2,4600,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,31,71300,32,73600,0,0,1,2300,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,ATP Logistics LOGISTICS - Novacare Ltd - NL,Nos,37,85100,41,94300,0,0,4,9200,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,HOG logistics LOGISTICS - Novacare Ltd - NL,Nos,38,87400,41,94300,0,0,3,6900,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,23,52900,23,52900,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Msuega Terlanga Japhet Logistics - Novacare Ltd - NL,Nos,45,103500,46,105800,0,0,1,2300,2300,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Alatiya Absalom Emmanuel Logistics - Novacare Ltd - NL,Nos,25,50000,32,64000,0,0,7,14000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Alatiya Absalom Emmanuel Logistics - Novacare Ltd - NL,Nos,41,73800,47,84600,0,0,6,10800,1800,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Sheriff Adesola Raifu Logistics - Novacare Ltd - NL,Nos,69,134550,93,181350,0,0,24,46800,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Emmanuel Nnamdi Ugwu Logistics - Novacare Ltd - NL,Nos,30,69000,30,69000,0,0,0,0,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,BLUE AMAZON LOGISTICS LTD LOGISTICS - Novacare Ltd - NL,Nos,29,66700,29,66700,0,0,0,0,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Olawale Olusola Logistics - Novacare Ltd - NL,Nos,27,52650,39,76050,0,0,12,23400,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Olawale Olusola Logistics - Novacare Ltd - NL,Nos,26,59800,28,64400,0,0,2,4600,2300,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,PELICAN DELIVERY AND LOGISTICS SERVICES LOGISTICS - Novacare Ltd - NL,Nos,46,82800,46,82800,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Yohanna Vanduna Logistics - Novacare Ltd - NL,Nos,33,66000,36,72000,0,0,3,6000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Yohanna Vanduna Logistics - Novacare Ltd - NL,Nos,44,79200,44,79200,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,"Express Logistics, Ebonyi LOGISTICS - Novacare Ltd - NL",Nos,16,25600,16,25600,0,0,0,0,1600,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,SAGE LOGISTICS - Novacare Ltd - NL,Nos,48,144000,109,327000,0,0,61,183000,3000,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,SAGE LOGISTICS - Novacare Ltd - NL,Nos,234,445842.54,276,525865.56,0,0,42,80023.02,1905.31,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,George O.O LOGISTICS - Novacare Ltd - NL,Nos,2,3400,2,3400,0,0,0,0,1700,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,imole logistics - Novacare Ltd - NL,Nos,62,118129.22,127,241974.37,0,0,65,123845.15,1905.31,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,imole logistics - Novacare Ltd - NL,Nos,161,474950,170,501500,0,0,9,26550,2950,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,ANIEADOLF CREATIONS - Novacare Ltd - NL,Nos,350,675605,379,731583.7,0,0,29,55978.7,1930.3,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,ANIEADOLF CREATIONS - Novacare Ltd - NL,Nos,165,485827.65,190,559437.9,0,0,25,73610.25,2944.41,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,ANIEADOLF CREATIONS - Novacare Ltd - NL,Nos,7,14000,30,60000,0,0,23,46000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,ANIEADOLF CREATIONS - Novacare Ltd - NL,Nos,23,42000,66,128000,0,0,43,86000,1826.087,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Shittu Adebamke Yusuff Logistics - Novacare Ltd - NL,Nos,42,84000,46,92000,0,0,4,8000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Shittu Adebamke Yusuff Logistics - Novacare Ltd - NL,Nos,44,79200,47,84600,0,0,3,5400,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Toheeb Biola Popoola Logistics - Novacare Ltd - NL,Nos,10,13000,10,13000,0,0,0,0,1300,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,Tajudeen A Ayetigbo LOGISTICS - Novacare Ltd - NL,Nos,20,36000,20,36000,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Msuega Terlanga Japhet Logistics - Novacare Ltd - NL,Nos,26,41600,26,41600,0,0,0,0,1600,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,GetIT Express Logistics - Novacare Ltd - NL,Nos,320,608000,320,608000,0,0,0,0,1900,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,GetIT Express Logistics - Novacare Ltd - NL,Nos,110,324500,110,324500,0,0,0,0,2950,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,GetIT Express Logistics - Novacare Ltd - NL,Nos,20,36000,20,36000,0,0,0,0,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,YAYA JOB - Novacare Ltd - NL,Nos,37,66600,37,66600,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,YAYA JOB - Novacare Ltd - NL,Nos,37,74000,37,74000,0,0,0,0,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Msuega Terlanga Japhet Logistics - Novacare Ltd - NL,Nos,24,48000,37,74000,0,0,13,26000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Msuega Terlanga Japhet Logistics - Novacare Ltd - NL,Nos,38,68400,46,84000,0,0,8,15600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,GetIT Express Logistics - Novacare Ltd - NL,Nos,20,40000,20,40000,0,0,0,0,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,APPLE ANAMBRA DELIVERY SERVICES - Novacare Ltd - NL,Nos,37,74000,37,74000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,APPLE ANAMBRA DELIVERY SERVICES - Novacare Ltd - NL,Nos,37,67833.21,38,69666.54,0,0,1,1833.33,1833.33,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,byke messengers logistic - Novacare Ltd - NL,Nos,456,868821.36,541,1036548.8,0,0,85,167727.44,1905.31,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,byke messengers logistic - Novacare Ltd - NL,Nos,412,1236000,135,405000,320,960000,43,129000,3000,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,AB LOGISTICS KADUNA - Novacare Ltd - NL,Nos,153,306000,169,338000,0,0,16,32000,2000,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,AB LOGISTICS KADUNA - Novacare Ltd - NL,Nos,330,736000,336,748000,0,0,6,12000,2230.303,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,PEAKLINK LOGISTICS LTD - Novacare Ltd - NL,Nos,163,310751.86,197,377644.14,0,0,34,66892.28,1906.453,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,PEAKLINK LOGISTICS LTD - Novacare Ltd - NL,Nos,241,718520.55,258,761369.9,0,0,17,42849.35,2981.413,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Solomon Uduak Ikpembe - Novacare Ltd - NL,Nos,182,346776.32,42,80041.92,160,304849.6,20,38115.2,1905.364,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,Solomon Uduak Ikpembe - Novacare Ltd - NL,Nos,482,1441900,189,561550,320,960000,27,79650,2991.494,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,ISMAIL MUHAMMAD LIMAN - Novacare Ltd - NL,Nos,534,1022548.8,217,418849.6,320,609699.2,3,6000,1914.885,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,ISMAIL MUHAMMAD LIMAN - Novacare Ltd - NL,Nos,410,1216000,98,272000,320,960000,8,16000,2965.854,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,ATOMIC LOGISTICS EDO - Novacare Ltd - NL,Nos,171,325808.01,224,426800.24,0,0,53,100992.23,1905.31,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,ATOMIC LOGISTICS EDO - Novacare Ltd - NL,Nos,263,783850,282,839900,0,0,19,56050,2980.418,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Aruoriwo Adhuze - Novacare Ltd - NL,Nos,232,444676.72,276,529011.96,0,0,44,84335.24,1916.71,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,Aruoriwo Adhuze - Novacare Ltd - NL,Nos,202,595900,218,643100,0,0,16,47200,2950,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,ug express logistics ltd - Novacare Ltd - NL,Nos,306,595733.04,342,665819.28,0,0,36,70086.24,1946.84,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,ug express logistics ltd - Novacare Ltd - NL,Nos,294,664000,329,734000,0,0,35,70000,2258.503,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,Smart move Logistics Logistics LOGISTICS - Novacare Ltd - NL,Nos,104,520000,105,525000,0,0,1,5000,5000,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Connect Logistics - Novacare Ltd - NL,Nos,24,46800,33,64350,0,0,9,17550,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Connect Logistics - Novacare Ltd - NL,Nos,25,57500,26,59800,0,0,1,2300,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,26,50700,28,54600,0,0,2,3900,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,154,300300,158,308100,0,0,4,7800,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Shittu Adebamke Yusuff Logistics - Novacare Ltd - NL,Nos,29,56550,37,72150,0,0,8,15600,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Shittu Adebamke Yusuff Logistics - Novacare Ltd - NL,Nos,34,78200,37,85100,0,0,3,6900,2300,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,imole logistics - Novacare Ltd - NL,Nos,20,40000,20,40000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,imole logistics - Novacare Ltd - NL,Nos,9,16200,12,21600,0,0,3,5400,1800,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,Olawale Olusola Logistics - Novacare Ltd - NL,Nos,10,18000,10,18000,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Olawale Olusola Logistics - Novacare Ltd - NL,Nos,3,6000,8,16000,0,0,5,10000,2000,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Etimbuk Gregory Logistics - Novacare Ltd - NL,Nos,38,68400,38,68400,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Ola Cash - Novacare Ltd - NL,Nos,29,52200,29,52200,0,0,0,0,1800,0,Novacare Ltd
Push Board Pro,Push Board Pro,Novacare,Ola Cash - Novacare Ltd - NL,Nos,10,20000,10,20000,0,0,0,0,2000,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,Ola Cash - Novacare Ltd - NL,Nos,69,345000,69,345000,0,0,0,0,5000,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Velocitŕ logistics LOGISTICS - Novacare Ltd - NL,Nos,41,73800,41,73800,0,0,0,0,1800,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,6,10800,6,10800,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,23,39100,23,39100,0,0,0,0,1700,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,TRUST LOGISTICS BENUE - Novacare Ltd - NL,Nos,320,960000,320,960000,0,0,0,0,3000,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,John Peter Adamawa - Novacare Ltd - NL,Nos,4,7800,12,23400,0,0,8,15600,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,John Peter Adamawa - Novacare Ltd - NL,Nos,24,55200,25,57500,0,0,1,2300,2300,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Enny logistics LOGISTICS - Novacare Ltd - NL,Nos,27,48600,27,48600,0,0,0,0,1800,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,Enny logistics LOGISTICS - Novacare Ltd - NL,Nos,112,560000,112,560000,0,0,0,0,5000,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,YAYA JOB - Novacare Ltd - NL,Nos,23,41400,23,41400,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,GINIKA ANAMBRA - Novacare Ltd - NL,Nos,10,16000,10,16000,0,0,0,0,1600,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,GINIKA ANAMBRA - Novacare Ltd - NL,Nos,30,60000,30,60000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,GINIKA ANAMBRA - Novacare Ltd - NL,Nos,12,21999.96,28,51333.24,0,0,16,29333.28,1833.33,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Abdulsalam Abubakar Logistics - Novacare Ltd - NL,Nos,18,32400,18,32400,0,0,0,0,1800,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,94,470000,94,470000,0,0,0,0,5000,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,24,43200,24,43200,0,0,0,0,1800,0,Novacare Ltd
Ura Clear Tea,Ura Clear Tea,Novacare,FLYMARK LOGISTICS KD - Novacare Ltd - NL,Nos,25,73750,32,94400,0,0,7,20650,2950,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Hezekiah Victor Adesanmi Logistics - Novacare Ltd - NL,Nos,29,46400,29,46400,0,0,0,0,1600,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Anthony Ezekiel Logistics - Novacare Ltd - NL,Nos,31,62000,31,62000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Anthony Ezekiel Logistics - Novacare Ltd - NL,Nos,8,14745.12,23,42392.22,0,0,15,27647.1,1843.14,0,Novacare Ltd
Grazer Herbal Balm,Grazer Herbal Balm,Novacare,Adeyinka Ekundayo Isreal Logistics - Novacare Ltd - NL,Nos,35,56000,35,56000,0,0,0,0,1600,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Ezekiel Ameh Logistics - Novacare Ltd - NL,Nos,26,59800,26,59800,0,0,0,0,2300,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,De Wealthz Logistics LOGISTICS - Novacare Ltd - NL,Nos,9,16200,9,16200,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,9,16200,9,16200,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,TRUST LOGISTICS PDA - Novacare Ltd - NL,Nos,18,32400,18,32400,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Olupona oluwaseyi Logistics - Novacare Ltd - NL,Nos,32,57600,32,57600,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,FOMAX ASABA (DELTA) LOGISTICS - Novacare Ltd - NL,Nos,14,25200,14,25200,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Fomax logistics LOGISTICS - Novacare Ltd - NL,Nos,20,36000,20,36000,0,0,0,0,1800,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,FLYMARK LOGISTICS KD - Novacare Ltd - NL,Nos,11,19800,11,19800,0,0,0,0,1800,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,FLYMARK LOGISTICS KD - Novacare Ltd - NL,Nos,15,75000,17,85000,0,0,2,10000,5000,0,Novacare Ltd
