Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,NOVA XPRESS ABUJA - Novacare Ltd - NL,Nos,-304,-592800,-220,-429000,0,0,84,163800,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,NOVA XPRESS ABUJA - Novacare Ltd - NL,Nos,15,29250,18,35100,0,0,3,5850,1950,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Smart move Logistics Logistics LOGISTICS - Novacare Ltd - NL,Nos,18,28800,18,28800,0,0,0,0,1600,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,NOVA XPRESS ABUJA - Novacare Ltd - NL,Nos,11,17600,11,17600,0,0,0,0,1600,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,RAPH XPRESS LOGISTICS - Novacare Ltd - NL,Nos,94,183300,149,290550,0,0,55,107250,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,RAPH XPRESS LOGISTICS - Novacare Ltd - NL,Nos,48,105850,49,107800,0,0,1,1950,2205.208,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,John Hamza shuaibu Logistics - Novacare Ltd - NL,Nos,253,493350,109,212550,250,487500,106,206700,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,John Hamza shuaibu Logistics - Novacare Ltd - NL,Nos,45,103500,26,59800,30,69000,11,25300,2300,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Oluwadamilare Emmanuel Logistics - Novacare Ltd - NL,Nos,35,71750,35,71750,0,0,0,0,2050,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Oluwadamilare Emmanuel Logistics - Novacare Ltd - NL,Nos,69,134550,0,0,80,156000,11,21450,1950,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Hambolu babatunde philips Logistics - Novacare Ltd - NL,Nos,-53,-103350,28,54600,0,0,81,157950,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Hambolu babatunde philips Logistics - Novacare Ltd - NL,Nos,40,92000,44,101200,0,0,4,9200,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Velocitŕ logistics LOGISTICS - Novacare Ltd - NL,Nos,-54,-105300,-9,-17550,0,0,45,87750,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Velocitŕ logistics LOGISTICS - Novacare Ltd - NL,Nos,35,80500,36,82800,0,0,1,2300,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,-37,-72150,7,13650,0,0,44,85800,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,33,75900,33,75900,0,0,0,0,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,FOMAX ASABA (DELTA) LOGISTICS - Novacare Ltd - NL,Nos,24,46800,45,87750,0,0,21,40950,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,FOMAX ASABA (DELTA) LOGISTICS - Novacare Ltd - NL,Nos,20,46000,21,48300,0,0,1,2300,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,FOMAX PH. LOGISTICS - Novacare Ltd - NL,Nos,-78,-152100,-35,-68250,0,0,43,83850,1950,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,FOMAX PH. LOGISTICS - Novacare Ltd - NL,Nos,18,41400,21,48300,0,0,3,6900,2300,0,Novacare Ltd
Clear Vision Tea,Clear Vision Tea,Novacare,DINO LOGISTICS - Novacare Ltd - NL,Nos,8,24000,8,24000,0,0,0,0,3000,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,BLUE AMAZON LOGISTICS LTD LOGISTICS - Novacare Ltd - NL,Nos,20,32000,20,32000,0,0,0,0,1600,0,Novacare Ltd
Compression Vest,Compression Vest,Novacare,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,67,234500,67,234500,0,0,0,0,3500,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,35,63000,35,63000,0,0,0,0,1800,0,Novacare Ltd
Hair Growth Oil,Hair Growth Oil ,Novacare,Changfa Jesse David - Novacare Ltd - NL,Nos,18,28800,18,28800,0,0,0,0,1600,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Stores - NL,Nos,78,156000,105,210000,3,6000,30,60000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Stores - NL,Nos,138,248400,234,421200,4,7200,100,180000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Sheriff Adesola Raifu Logistics - Novacare Ltd - NL,Nos,18,36000,24,48000,0,0,6,12000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Sheriff Adesola Raifu Logistics - Novacare Ltd - NL,Nos,23,41400,32,57600,0,0,9,16200,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Enny logistics LOGISTICS - Novacare Ltd - NL,Nos,38,76000,42,84000,0,0,4,8000,2000,0,Novacare Ltd
